size,average_moves,average_density,max_moves,min_moves
2,4.0,1.0,4.0,4.0
3,7.0082,0.7786888888888889,8.0,4.0
4,11.8833,0.74270625,16.0,4.0
5,16.2654,0.6506160000000001,24.0,6.0
6,19.9742,0.5548388888888889,36.0,6.0
7,23.3834,0.47721224489795916,48.0,8.0
8,26.8038,0.418809375,60.0,8.0
9,29.4127,0.36311975308641975,74.0,8.0
10,32.422,0.32422,84.0,8.0
11,34.9593,0.2889198347107438,105.0,8.0
12,37.3998,0.25972083333333335,115.0,8.0
13,39.6157,0.234412426035503,124.0,8.0
14,41.3336,0.21088571428571426,136.0,8.0
15,43.3966,0.19287377777777778,143.0,8.0
16,44.8088,0.175034375,161.0,8.0
17,46.7275,0.16168685121107268,175.0,8.0
18,48.4945,0.14967438271604938,207.0,8.0
19,49.8702,0.13814459833795012,204.0,8.0
20,51.3517,0.12837925,216.0,8.0
21,52.3514,0.11871065759637188,227.0,8.0
22,53.9842,0.11153760330578512,257.0,8.0
23,54.8742,0.10373194706994329,257.0,8.0
24,55.7601,0.09680572916666667,243.0,8.0
25,57.5819,0.09213104000000001,244.0,8.0
26,57.8247,0.08553949704142012,268.0,8.0
27,59.3849,0.08146076817558298,248.0,8.0
28,59.2684,0.07559744897959184,243.0,8.0
29,60.7051,0.0721820451843044,280.0,8.0
30,61.3864,0.06820711111111111,280.0,8.0
31,61.623,0.06412382934443288,363.0,8.0
32,62.7204,0.061250390625,321.0,8.0
33,62.376,0.05727823691460055,263.0,8.0
34,62.4629,0.05403365051903114,297.0,8.0
35,63.702,0.05200163265306122,377.0,8.0
36,64.6897,0.049914891975308635,321.0,8.0
37,64.4289,0.0470627465303141,295.0,8.0
38,65.5041,0.04536295013850415,270.0,8.0
39,66.2399,0.043550230111768576,295.0,8.0
40,66.1059,0.041316187500000004,305.0,8.0
41,66.8639,0.03977626412849494,374.0,8.0
42,66.58,0.037743764172335596,342.0,8.0
43,66.9491,0.03620827474310438,336.0,8.0
44,66.875,0.034542871900826444,345.0,8.0
45,68.4641,0.033809432098765434,335.0,8.0
46,68.7318,0.03248194706994329,328.0,8.0
47,69.1261,0.03129293798098687,332.0,8.0
48,67.8235,0.029437282986111108,334.0,8.0
49,68.7532,0.028635235318617242,326.0,8.0
50,69.4327,0.02777308,492.0,8.0
51,68.8586,0.026473894655901574,431.0,8.0
52,69.7364,0.02579008875739645,362.0,8.0
53,69.335,0.024683161267354932,398.0,8.0
54,69.1956,0.02372962962962963,373.0,8.0
55,68.6183,0.022683735537190084,406.0,8.0
56,69.8284,0.02226670918367347,393.0,8.0
57,69.7059,0.021454570637119117,392.0,8.0
58,70.2425,0.02088064803804994,483.0,8.0
59,70.5853,0.02027730537201954,339.0,8.0
60,70.8495,0.01968041666666667,387.0,8.0
61,71.0686,0.01909932813759742,329.0,8.0
62,70.7557,0.018406789802289283,396.0,8.0
63,71.7817,0.018085588309397833,340.0,8.0
64,70.5607,0.0172267333984375,400.0,8.0
65,71.6159,0.016950508875739647,422.0,8.0
66,70.6636,0.016222130394857665,380.0,8.0
67,71.528,0.01593406103809312,403.0,8.0
68,71.0968,0.015375605536332179,363.0,8.0
69,71.3329,0.014982755723587482,445.0,8.0
70,72.3484,0.014764979591836735,442.0,8.0
71,70.9656,0.01407768299940488,478.0,8.0
72,70.9813,0.013692380401234567,449.0,8.0
73,71.0998,0.013342052917995872,423.0,8.0
74,70.2649,0.01283142804967129,450.0,8.0
75,71.1005,0.01264008888888889,380.0,8.0
76,70.9782,0.012288469529085872,435.0,8.0
77,71.4854,0.012056906729634002,408.0,8.0
78,72.0474,0.011842110453648915,383.0,8.0
79,71.4664,0.011451113603589169,443.0,8.0
80,71.4705,0.011167265625,418.0,8.0
81,71.5408,0.010903947568968146,382.0,8.0
82,71.5227,0.01063692742415229,399.0,8.0
83,71.2274,0.010339294527507622,485.0,8.0
84,71.8305,0.010180059523809524,413.0,8.0
85,70.9468,0.009819626297577854,510.0,8.0
86,71.6104,0.009682314764737694,445.0,8.0
87,72.4003,0.009565371911745276,438.0,8.0
88,70.9092,0.009156663223140495,469.0,8.0
89,71.6823,0.009049652821613434,448.0,8.0
90,71.3542,0.00880916049382716,422.0,8.0
91,70.4867,0.00851185847119913,384.0,8.0
92,71.6398,0.0084640595463138,417.0,8.0
93,71.3343,0.008247693374956643,412.0,8.0
94,71.9625,0.00814423947487551,422.0,8.0
95,72.096,0.007988476454293628,477.0,8.0
96,71.4305,0.007750705295138888,437.0,8.0
97,71.5181,0.007601030927835052,437.0,8.0
98,71.8483,0.007481080799666806,448.0,8.0
99,72.1624,0.007362758902152841,519.0,8.0
100,71.3569,0.007135690000000001,459.0,8.0
101,71.9705,0.007055239682384079,406.0,8.0
102,72.4821,0.006966753171856979,414.0,8.0
103,72.6279,0.006845876142897541,391.0,8.0
104,71.5582,0.006615957840236686,511.0,8.0
105,71.95,0.006526077097505668,411.0,8.0
106,71.929,0.006401655393378426,513.0,8.0
107,71.7601,0.00626780504847585,439.0,8.0
108,71.1225,0.0060976080246913575,401.0,8.0
109,71.1725,0.005990446932076425,452.0,8.0
110,70.8112,0.0058521652892561974,426.0,8.0
111,72.1823,0.005858477396315234,453.0,8.0
112,72.0927,0.005747185905612245,541.0,8.0
113,71.7211,0.005616814159292035,489.0,8.0
114,71.1262,0.005472930132348414,491.0,8.0
115,71.4113,0.0053997202268431,432.0,8.0
116,71.2106,0.005292107609988109,412.0,8.0
117,72.032,0.00526203521075316,438.0,8.0
118,73.1777,0.005255508474576271,417.0,8.0
119,71.9404,0.005080177953534355,451.0,8.0
120,71.4618,0.004962625,554.0,8.0
121,71.2748,0.004868164742845434,425.0,8.0
122,71.5897,0.004809842784197797,476.0,8.0
123,71.9265,0.004754213761649811,460.0,8.0
124,71.6199,0.004657901925078044,507.0,8.0
125,71.5482,0.0045790848,447.0,8.0
126,71.3616,0.00449493575207861,439.0,8.0
127,71.4469,0.004429716659433319,428.0,8.0
128,72.2844,0.0044118896484375,433.0,8.0
129,71.5102,0.004297229733790037,624.0,8.0
130,72.3178,0.00427915976331361,425.0,8.0
131,71.4349,0.004162630382844822,498.0,8.0
132,72.2315,0.004145517676767676,546.0,8.0
133,71.6694,0.004051636610322799,451.0,8.0
134,72.5425,0.004040014479839609,437.0,8.0
135,71.6856,0.003933366255144032,470.0,8.0
136,71.7337,0.003878335856401384,474.0,8.0
137,72.1716,0.003845255474452555,438.0,8.0
138,72.0157,0.0037815427431211928,459.0,8.0
139,72.1417,0.0037338491796490864,453.0,8.0
140,71.4184,0.003643795918367347,512.0,8.0
141,71.3624,0.003589477390473316,616.0,8.0
142,72.1534,0.003578327712755406,516.0,8.0
143,71.1599,0.0034798718763753727,401.0,8.0
144,71.6064,0.0034532407407407407,399.0,8.0
145,71.7219,0.0034112675386444706,438.0,8.0
146,71.6156,0.00335971101519985,441.0,8.0
147,71.4963,0.003308635290851034,438.0,8.0
148,72.0408,0.0032889335281227174,620.0,8.0
149,71.3964,0.0032159091932795823,459.0,8.0
150,71.9594,0.0031981955555555556,439.0,8.0
151,72.17,0.0031652120521029783,451.0,8.0
152,72.2491,0.003127125173130194,414.0,8.0
153,71.3897,0.0030496689307531293,474.0,8.0
154,71.649,0.0030211249789171865,567.0,8.0
155,71.9458,0.0029946222684703438,431.0,8.0
156,71.2248,0.0029267258382643,499.0,8.0
157,71.2374,0.002890072619578888,423.0,8.0
158,71.7438,0.002873890402179138,447.0,8.0
159,72.0188,0.0028487322495154466,418.0,8.0
160,71.5291,0.0027941054687500005,449.0,8.0
161,71.8838,0.0027731877628177927,468.0,8.0
162,71.7514,0.002734011583600061,466.0,8.0
163,71.8588,0.0027046106364560204,470.0,8.0
164,72.8406,0.002708231707317073,469.0,8.0
165,70.2006,0.002578534435261708,449.0,8.0
166,71.8498,0.0026074103643489626,569.0,8.0
167,72.4153,0.0025965541969952314,424.0,8.0
168,71.3281,0.0025272144274376416,456.0,8.0
169,71.3378,0.0024977346731557015,413.0,8.0
170,72.3553,0.002503643598615917,454.0,8.0
171,71.9921,0.00246202592250607,529.0,8.0
172,72.2406,0.002441880746349378,423.0,8.0
173,71.493,0.0023887533830064486,382.0,8.0
174,71.2146,0.002352179944510503,457.0,8.0
175,72.3457,0.002362308571428571,474.0,8.0
176,72.5371,0.002341719395661157,560.0,8.0
177,71.4257,0.0022798589166586865,425.0,8.0
178,72.7732,0.0022968438328493873,497.0,8.0
179,72.733,0.0022699978152991482,453.0,8.0
180,72.224,0.002229135802469136,425.0,8.0
181,70.5388,0.0021531332987393547,444.0,8.0
182,71.9851,0.0021732007003985028,384.0,8.0
183,71.7504,0.0021425064946698916,475.0,8.0
184,71.3397,0.002107150874291115,438.0,8.0
185,72.3124,0.002112853177501826,539.0,8.0
186,72.5337,0.00209659209157128,447.0,8.0
187,72.194,0.002064514284080185,564.0,8.0
188,72.5768,0.0020534404708012675,453.0,8.0
189,71.9769,0.0020149743848156543,430.0,8.0
190,71.9314,0.0019925595567867036,514.0,8.0
191,72.1057,0.001976527507469642,429.0,8.0
192,71.5006,0.0019395779079861115,647.0,8.0
193,72.4014,0.0019437139252060454,396.0,8.0
194,71.9745,0.0019123844191731322,457.0,8.0
195,71.7867,0.0018878816568047338,454.0,8.0
196,72.1195,0.0018773297584339858,384.0,8.0
197,71.7252,0.001848158932206447,456.0,8.0
198,71.6286,0.0018270737679828588,539.0,8.0
199,71.7855,0.001812719375773339,491.0,8.0
200,71.7842,0.001794605,444.0,8.0
201,71.0823,0.0017594193213039283,484.0,8.0
202,71.7754,0.0017590285266150378,611.0,8.0
203,71.8262,0.0017429736222669802,458.0,8.0
204,70.8658,0.0017028498654363706,474.0,8.0
205,71.9896,0.0017130184414039264,455.0,8.0
206,71.0053,0.0016732326326703742,539.0,8.0
207,71.82,0.0016761184625078765,451.0,8.0
208,72.7272,0.0016810096153846152,624.0,8.0
209,71.9886,0.0016480529291911814,465.0,8.0
210,71.7537,0.0016270680272108841,446.0,8.0
211,71.9467,0.0016160171604411404,540.0,8.0
212,71.3187,0.0015868347276610894,427.0,8.0
213,72.618,0.0016006083449051115,481.0,8.0
214,70.7983,0.001545949427897633,484.0,8.0
215,71.8405,0.001554148188209843,479.0,8.0
216,71.2101,0.0015262795781893004,420.0,8.0
217,70.8818,0.0015052729936927945,490.0,8.0
218,71.7432,0.0015096204023230368,467.0,8.0
219,71.1579,0.001483661725151686,457.0,8.0
220,71.3918,0.0014750371900826447,454.0,8.0
221,71.0607,0.0014549394975532852,405.0,8.0
222,70.9759,0.001440140816492168,453.0,8.0
223,71.8775,0.0014453839811779847,392.0,8.0
224,72.3782,0.0014424864477040817,472.0,8.0
225,71.7591,0.0014174637037037037,413.0,8.0
226,71.5539,0.0014009299866865063,422.0,8.0
227,72.139,0.0013999689495235693,474.0,8.0
228,71.9809,0.0013846741305016928,442.0,8.0
229,71.8744,0.0013705764573520717,475.0,8.0
230,71.9899,0.001360867674858223,487.0,8.0
231,71.6238,0.0013422499578343732,440.0,8.0
232,72.0675,0.001338947309750297,432.0,8.0
233,71.7913,0.001322391276317486,452.0,8.0
234,71.6755,0.0013089981006647673,443.0,8.0
235,72.228,0.0013078859212313264,531.0,8.0
236,71.0052,0.0012748707268026428,494.0,8.0
237,72.3247,0.001287626626787018,451.0,8.0
238,71.1952,0.0012568886378080645,484.0,8.0
239,71.2118,0.001246683356383817,563.0,8.0
240,72.3067,0.001255324652777778,488.0,8.0
241,72.567,0.0012494103062963792,392.0,8.0
242,72.2596,0.0012338569769824467,428.0,8.0
243,71.2779,0.0012070974953005131,442.0,8.0
244,72.1866,0.0012124865627519486,514.0,8.0
245,72.7356,0.0012117551020408162,473.0,8.0
246,71.1083,0.001175033049110979,449.0,8.0
247,70.6307,0.0011577095182677966,421.0,8.0
248,71.7563,0.0011666932232049947,543.0,8.0
249,72.0177,0.0011615570716601346,462.0,8.0
250,72.0127,0.0011522032,473.0,8.0
251,71.9933,0.0011427326550372213,491.0,8.0
252,72.3969,0.0011400368480725624,493.0,8.0
253,71.223,0.001112702901154525,515.0,8.0
254,71.9829,0.001115737181474363,476.0,8.0
255,71.7528,0.0011034648212226066,474.0,8.0
